Genre,Name,Platform,Publisher,Rating,Year of Release,Critic Count,Critic Score,EU Sales,Global Sales,JP Sales,JP Sales Text,NA Sales,Other Sales,User Count,User Score
Adventure,99 no Namida,DS,Namco Bandai Games,,2008,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Ookami to Koushinryou: Boku to Horo no Ichinen,DS,ASCII Media Works,,2008,,,0,0.04,0.04,$0 Million,0,0,,
Action,Headhunter: Redemption,PS2,Sega,M,2004,29,62,0.01,0.04,0,$0 Million,0.02,0,7,6.7
Fighting,Cyber Troopers Virtual-On Marz,PS2,Sega,,2003,,,0.01,0.04,0,$0 Million,0.02,0,,
Adventure,Clannad,PSP,Prototype,,2008,,,0,0.04,0.04,$0 Million,0,0,,
Racing,Stuntman,GBA,Atari,E,2003,8,77,0.01,0.04,0,$0 Million,0.03,0,,
Sports,WSC Real 11: World Snooker Championship,X360,Koch Media,,2011,,,0.03,0.04,0,$0 Million,0,0,,
Action,The Chase: Felix Meets Felicity,DS,Atari,E,2009,9,59,0,0.04,0,$0 Million,0.04,0,,
Adventure,Time Travelers,3DS,Unknown,,2012,,,0,0.04,0.04,$0 Million,0,0,,
Action,Grand Theft Auto: Vice City,PC,Take-Two Interactive,M,2003,30,94,0.03,0.04,0,$0 Million,0,0.01,1538,8.8
Misc,The Idolm@ster: Must Songs - Red Board / Blue Board,PSV,Namco Bandai Games,,2015,,,0,0.04,0.04,$0 Million,0,0,,
Puzzle,Luxor: Pharaohs Challenge,Wii,Funsta,E,2007,,,0.02,0.04,0,$0 Million,0.01,0,,
Strategy,Syndicate Wars,PS,Electronic Arts,,1997,,,0.01,0.04,0,$0 Million,0.02,0,,
Strategy,Empire Earth III,PC,Vivendi Games,T,2007,40,50,0.03,0.04,0,$0 Million,0,0.01,53,2.8
Misc,Sonic PC Collection,PC,Sega,,2009,,,0.04,0.04,0,$0 Million,0,0,,
Simulation,The Sims 4: Spa Day,PC,Electronic Arts,T,2015,,,0.04,0.04,0,$0 Million,0,0,28,7.8
Action,DuckTales: Remastered,X360,Capcom,,2013,,,0,0.04,0,$0 Million,0.03,0,,
Sports,Surfs Up,PS3,Ubisoft,E10+,2007,8,59,0,0.04,0,$0 Million,0.03,0,7,5.1
Shooter,SWAT: Target Liberty,PSP,Vivendi Games,T,2007,26,50,0,0.04,0,$0 Million,0.03,0,9,7.7
Adventure,Game of Thrones (Telltale),PS3,Telltale Games,,2015,,,0.02,0.04,0,$0 Million,0.02,0.01,,
Fighting,Draglade (JP sales),DS,505 Games,,2007,,,0,0.04,0.04,$0 Million,0,0,,
Sports,Free Running,Wii,Reef Entertainment,T,2009,,,0.02,0.04,0,$0 Million,0.02,0,,
Sports,Tiger Woods PGA Tour Golf,GBA,Ubisoft,E,2002,,,0.01,0.04,0,$0 Million,0.03,0,,
Action,Hercs Adventures,PS,Virgin Interactive,,1997,,,0.01,0.04,0,$0 Million,0.02,0,,
Shooter,Twin Strike: Operation Thunder,Wii,Zoo Games,E10+,2008,7,50,0,0.04,0,$0 Million,0.04,0,6,8.3
Adventure,CSI: Fatal Conspiracy,PC,Ubisoft,M,2010,5,47,0.03,0.04,0,$0 Million,0,0.01,6,5.5
Action,Resident Evil: Operation Raccoon City,PC,Capcom,M,2012,8,48,0.03,0.04,0,$0 Million,0,0.01,192,3.9
Puzzle,Bomberman: Act Zero,X360,Konami Digital Entertainment,T,2006,41,34,0,0.04,0,$0 Million,0.04,0,43,2.2
Role-Playing,All Points Bulletin,PC,Electronic Arts,,2010,,,0.03,0.04,0,$0 Million,0,0.01,,
Racing,Hannspree Ten Kate Honda: SBK Superbike World Championship,PSP,Black Bean Games,E10+,2007,,,0,0.04,0,$0 Million,0.03,0,,
Platform,Trine 2,WiiU,Atlus,,2012,,,0.04,0.04,0,$0 Million,0,0,,
Action,Astro Boy: The Video Game,PSP,D3Publisher,E10+,2009,6,60,0,0.04,0,$0 Million,0.04,0,,
Role-Playing,Medabots 9: Metabee / Rokusho,3DS,Rocket Company,,2015,,,0,0.04,0.04,$0 Million,0,0,,
Strategy,Worms: Ultimate Mayhem,PC,Unknown,E10+,2011,4,66,0.03,0.04,0,$0 Million,0,0,48,7.8
Adventure,Dreamfall: The Longest Journey,X,Empire Interactive,M,2006,42,73,0.01,0.04,0,$0 Million,0.03,0,24,8.8
Misc,Tokimeki Mahjong Paradise: Koi no Tenpai Beat,SAT,Sonnet,,1995,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,Nippon Ichi Software,,2010,,,0,0.04,0.04,$0 Million,0,0,,
Misc,Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,DS,Namco Bandai Games,,2005,,,0,0.04,0.04,$0 Million,0,0,,
Role-Playing,Tokyo Xanadu eX+,PS4,Nihon Falcom Corporation,,2016,,,0,0.04,0.04,$0 Million,0,0,,
Fighting,Zatch Bell! Mamodo Fury,GC,Namco Bandai Games,,2005,,,0.01,0.04,0,$0 Million,0.03,0,,
Misc,Just Sing! Vol. 2,DS,PQube,,2011,,,0.03,0.04,0,$0 Million,0,0,,
Simulation,JASF: Janes Advanced Strike Fighters,PC,Deep Silver,T,2011,4,48,0.01,0.04,0,$0 Million,0.02,0,14,3.1
Misc,PopStar Guitar,PS2,XS Games,T,2008,,,0.01,0.04,0,$0 Million,0.02,0,,
Misc,Doras Big Birthday Adventure,PS2,Take-Two Interactive,E,2010,,,0.01,0.04,0,$0 Million,0.02,0,,
Sports,NHL Blades of Steel 2000,PS,Konami Digital Entertainment,,1999,,,0.01,0.04,0,$0 Million,0.02,0,,
Sports,Outlaw Volleyball Remixed,PS2,Global Star,M,2004,9,57,0.01,0.04,0,$0 Million,0.02,0,,
Action,Samurai Warriors: Sanada Maru,PS4,Tecmo Koei,,2016,,,0,0.04,0.04,$0 Million,0,0,,
Strategy,The Adventures of Darwin,PS2,Essential Games,E10+,2006,10,53,0,0.04,0.03,$0 Million,0.01,0,,
Action,Adventure Time: Explore the Dungeon Because I Dont Know!,WiiU,D3Publisher,,2013,,,0.02,0.04,0,$0 Million,0.02,0,,
Role-Playing,Langrisser: Re:Incarnation Tensei,3DS,Extreme Entertainment Group,,2015,,,0,0.04,0.01,$0 Million,0.02,0,,
Sports,Don Bradman Cricket 14,XOne,Tru Blu Entertainment,,2015,,,0.04,0.04,0,$0 Million,0,0,,
Role-Playing,Klonoa Heroes: Densetsu no Star Medal,GBA,Namco Bandai Games,,2002,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Pajama Sam: You are What You Eat From Your Head to Your Feet,PS,Infogrames,,2001,,,0.01,0.04,0,$0 Million,0.02,0,,
Shooter,Brothers In Arms DS,DS,Ubisoft,T,2007,27,72,0,0.04,0,$0 Million,0.03,0,25,8
Role-Playing,Superdimension Neptune vs Sega Hard Girls,PSV,Idea Factory International,T,2016,16,73,0.03,0.04,0,$0 Million,0,0.01,14,8.5
Strategy,Warhammer: Dark Omen,PS,Electronic Arts,,1998,,,0.01,0.04,0,$0 Million,0.02,0,,
Puzzle,Denki Blocks!,GBA,Rage Software,,2001,,,0.01,0.04,0,$0 Million,0.03,0,,
Racing,Off-Road Drive,PC,1C Company,,2011,10,60,0.03,0.04,0,$0 Million,0,0,17,6.4
Action,Mobile Suit Gundam: Mokuba no Kiseki,PSP,Namco Bandai Games,,2012,,,0,0.04,0.04,$0 Million,0,0,,
Simulation,A Ressha de Ikou DS,DS,ArtDink,,2009,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Shin Hayarigami,PS3,Nippon Ichi Software,,2014,,,0,0.04,0.04,$0 Million,0,0,,
Role-Playing,Harukanaru Toki no Naka de 4: Aizouban,PSP,Tecmo Koei,,2010,,,0,0.04,0.04,$0 Million,0,0,,
Puzzle,Ballistic,PS,Atari,,1999,,,0.01,0.04,0,$0 Million,0.02,0,,
Racing,Colin McRae Rally 3,X,Codemasters,E,2002,25,86,0.01,0.04,0,$0 Million,0.03,0,14,7.4
Action,TMNT,DS,Ubisoft,E10+,2007,10,42,0.01,0.04,0,$0 Million,0.03,0,6,1.8
Misc,City Builder,Wii,Virtual Play Games,E,2010,,,0,0.04,0,$0 Million,0.04,0,,
Racing,Sega Rally 2006,PS2,Sega,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Action,Gundam Battle Online,DC,Namco Bandai Games,,2001,,,0,0.04,0.04,$0 Million,0,0,,
Action,LEGO Jurassic World,PC,Warner Bros. Interactive Entertainment,E10+,2015,8,72,0.04,0.04,0,$0 Million,0,0,33,7.1
Misc,NatGeo Challenge! Wild Life,Wii,Black Bean Games,,2010,,,0,0.04,0,$0 Million,0.03,0,,
Fighting,Shonen Jumps One Piece: Grand Adventure,GC,Namco Bandai Games,,2006,,,0.01,0.04,0,$0 Million,0.03,0,,
Misc,Holly Hobbie & Friends,DS,Majesco Entertainment,,2007,,,0,0.04,0,$0 Million,0.04,0,,
Sports,Dead or Alive Xtreme 3: Venus,PSV,Tecmo Koei,,2016,,,0,0.04,0.04,$0 Million,0,0,,
Misc,Gitaroo Man Lives!,PSP,Tecmo Koei,,2006,,,0,0.04,0,$0 Million,0.03,0,,
Action,Stolen,PS2,Hip Interactive,T,2005,16,51,0.01,0.04,0,$0 Million,0.02,0,16,7.4
Racing,Glacier2,Wii,Zoo Games,,2009,,,0,0.04,0,$0 Million,0.04,0,,
Sports,Stoked: Big Air Edition,X360,Namco Bandai Games,T,2009,21,72,0.02,0.04,0,$0 Million,0.02,0,16,7.7
Misc,Heathcliff! Frantic Foto,DS,Storm City Games,,2010,,,0,0.04,0,$0 Million,0.04,0,,
Adventure,Memories Off 6: T-Wave,PS2,5p,,2008,,,0,0.04,0.04,$0 Million,0,0,,
Role-Playing,Ar Nosurge: Ode to an Unborn Star,PSV,Tecmo Koei,,2014,,,0,0.04,0.04,$0 Million,0,0,,
Action,Famicom Remix Best Choice,3DS,Nintendo,,2015,,,0,0.04,0.04,$0 Million,0,0,,
Racing,Pro Race Driver,X,Codemasters,T,2003,17,80,0.01,0.04,0,$0 Million,0.03,0,5,8
Misc,Ide Yosuke no Mahjong Kazoku,PS,Seta Corporation,,1995,,,0,0.04,0.04,$0 Million,0,0,,
Simulation,The Movies,PC,Activision,T,2005,62,84,0.03,0.04,0,$0 Million,0.01,0.01,132,8.3
Puzzle,Jig-A-Pix: Pets,DS,Zushi Games,E,2009,,,0,0.04,0,$0 Million,0.03,0,,
Strategy,R-Type Command (correct US sales),PSP,Rising Star Games,,2007,,,0,0.04,0,$0 Million,0.04,0,,
Puzzle,Quiz Mobile Gundam: Toi Senshi DX,PSP,Namco Bandai Games,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Platform,E.T. The Extra-Terrestrial: Interplanetary Mission,PS,Ubisoft,,2001,,,0.01,0.04,0,$0 Million,0.02,0,,
Simulation,Train Simulator 2016,PC,Unknown,E,2015,,,0.04,0.04,0,$0 Million,0,0,9,3.8
Adventure,Story Hour: Fairy Tales,Wii,Zoo Digital Publishing,E,2008,,,0,0.04,0,$0 Million,0.04,0,,
Adventure,Countdown Vampires,PS,Namco Bandai Games,M,1999,6,41,0.01,0.04,0,$0 Million,0.02,0,,
Action,Dynasty Warriors Vol. 2 (JP sales),PSP,Tecmo Koei,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Shooter,Crypt Killer,PS,Konami Digital Entertainment,,1997,,,0.01,0.04,0,$0 Million,0.02,0,,
Strategy,Supreme Commander: Forged Alliance,PC,THQ,E10+,2007,35,81,0.02,0.04,0,$0 Million,0.01,0,219,8.9
Action,Tokumei Sentai Go-Busters,DS,Namco Bandai Games,,2012,,,0,0.04,0.04,$0 Million,0,0,,
Sports,Dramatic Soccer Game: Nippon Daihyou Senshu Ninarou!,PS2,Enix Corporation,,2002,,,0,0.04,0.04,$0 Million,0,0,,
Puzzle,Meteos: Disney Magic,DS,Disney Interactive Studios,E,2007,36,74,0.02,0.04,0,$0 Million,0.01,0,5,6.6
Sports,FIFA World Cup Germany 2006,DS,Electronic Arts,E,2006,7,71,0,0.04,0,$0 Million,0.03,0,6,7.2
Action,Warriors Orochi 3,XOne,Tecmo Koei,,2014,,,0.03,0.04,0,$0 Million,0.01,0,,
Shooter,POed,PS,Time Warner Interactive,,1996,,,0.01,0.04,0,$0 Million,0.02,0,,
Strategy,Battle Hunter,PS,Midas Interactive Entertainment,,1999,,,0.01,0.04,0,$0 Million,0.02,0,,
Adventure,Game of Thrones (Telltale),X360,Telltale Games,,2015,,,0,0.04,0,$0 Million,0.03,0,,
Racing,Need for Speed (2015),PC,Electronic Arts,,2016,,,0.04,0.04,0,$0 Million,0,0,,
Sports,Adidas Power Soccer,PS,Psygnosis,,1996,,,0.01,0.04,0,$0 Million,0.02,0,,
Shooter,Lost Planet 3,PC,Capcom,T,2013,17,61,0.04,0.04,0,$0 Million,0,0,210,6.2
Simulation,Darklight Conflict,PS,Electronic Arts,,1997,,,0.01,0.04,0,$0 Million,0.02,0,,
Action,Dragon Ball: Advanced Adventure,GBA,Namco Bandai Games,E10+,2004,7,75,0.01,0.04,0,$0 Million,0.03,0,11,8.5
Fighting,Art of Fighting 3: The Path of the Warrior,NG,SNK,,1996,,,0,0.04,0.04,$0 Million,0,0,,
Misc,Im A Celebrity: Get Me Out of Here!,DS,Mindscape,,2009,,,0.04,0.04,0,$0 Million,0,0,,
Action,The Ripping Friends,GBA,THQ,E,2002,12,38,0.01,0.04,0,$0 Million,0.03,0,,
Misc,Konami Arcade Classics,PS,Konami Digital Entertainment,,1999,,,0.01,0.04,0,$0 Million,0.02,0,,
Action,Castlevania: Lords of Shadow 2,PC,Konami Digital Entertainment,M,2014,16,58,0.03,0.04,0,$0 Million,0.01,0,503,7.6
Action,Hunter x Hunter: Wonder Adventure,PSP,Namco Bandai Games,,2012,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Game of Thrones (Telltale),XOne,Telltale Games,,2015,,,0,0.04,0,$0 Million,0.03,0,,
Sports,Rugby Challenge 3,X360,Alternative Software,E,2016,,,0.04,0.04,0,$0 Million,0,0,,
Action,Super Army War,GBA,Flashpoint Games,T,2005,8,58,0.01,0.04,0,$0 Million,0.03,0,,
Action,Ao no Exorcist: Genkoku no Labyrinth,PSP,Namco Bandai Games,,2012,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Echo Night Beyond,PS2,Indie Games,T,2004,22,60,0.01,0.04,0,$0 Million,0.02,0,9,8.9
Misc,Minna no Chizu,PSP,Zenrin,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Shooter,Doom II: Hell on Earth,GBA,Activision,,2002,,,0.01,0.04,0,$0 Million,0.03,0,,
Strategy,Taikou Risshiden V,PSP,Tecmo Koei,,2009,,,0,0.04,0.04,$0 Million,0,0,,
Sports,Jikkyou Powerful Major League,GC,Konami Digital Entertainment,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Suzumiya Haruhi no Tsuisou,PSP,Namco Bandai Games,,2011,,,0,0.04,0.04,$0 Million,0,0,,
Sports,Evolution Skateboarding,GC,Konami Digital Entertainment,T,2002,5,44,0.01,0.04,0,$0 Million,0.03,0,,
Shooter,Greg Hastings Tournament Paintball Maxd,DS,Activision,E10+,2006,4,39,0,0.04,0,$0 Million,0.03,0,10,7.4
Shooter,Halo: Combat Evolved,PC,Microsoft Game Studios,M,2003,40,83,0.02,0.04,0,$0 Million,0.02,0,397,7.4
Misc,Sleepover Party,Wii,Ubisoft,,2009,,,0,0.04,0,$0 Million,0.03,0,,
Sports,Jikkyou World Soccer 2002,PS2,Konami Digital Entertainment,,2002,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Tenshou Gakuen Gekkouroku,PS2,Asmik Ace Entertainment,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Role-Playing,Ragnarok Odyssey,PS3,GungHo,,2014,,,0,0.04,0,$0 Million,0.03,0.01,,
Action,Assassins Creed Chronicles: China,PS4,Ubisoft,T,2015,44,69,0.03,0.04,0,$0 Million,0,0.01,84,6.4
Racing,Ski-Doo Snowmobile Challenge,X360,Valcon Games,E,2009,,,0,0.04,0,$0 Million,0.03,0,,
Shooter,Little Red Riding Hoods Zombie BBQ,DS,Destineer,T,2008,15,68,0,0.04,0,$0 Million,0.03,0,8,7.3
Adventure,Aquanauts Holiday: Kakusareta Kiroku,PS3,Sony Computer Entertainment,,2008,,,0,0.04,0.04,$0 Million,0,0,,
Racing,Winning Post 8,PSV,Tecmo Koei,,2014,,,0,0.04,0.04,$0 Million,0,0,,
Misc,Texas Hold Em Poker DS,DS,Majesco Entertainment,E,2005,,,0,0.04,0,$0 Million,0.03,0,,
Racing,Big Mutha Truckers,GBA,Zoo Digital Publishing,,2005,,,0.01,0.04,0,$0 Million,0.03,0,,
Adventure,Sherlock Holmes: Secret of The Silver Earring,Wii,Focus Home Interactive,,2010,,,0.03,0.04,0,$0 Million,0,0,,
Role-Playing,Magical Starsign (JP sales),DS,Nintendo,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Racing,DT Carnage,PSP,Agetec,E10+,2009,,,0,0.04,0,$0 Million,0.03,0,,
Misc,DoraMoji: Nobita no Kanji Daisakusen,3DS,Shogakukan,,2015,,,0,0.04,0.04,$0 Million,0,0,,
Role-Playing,Super Hero Generation,PSV,Namco Bandai Games,,2014,,,0,0.04,0.04,$0 Million,0,0,,
Strategy,Caesar IV,PC,Vivendi Games,E10+,2006,32,74,0.03,0.04,0,$0 Million,0,0.01,43,7.6
Sports,Rugby 08,PS2,Electronic Arts,E,2007,21,74,0.01,0.04,0,$0 Million,0.02,0,25,7.4
Adventure,Pia Carrot e Youkoso!! 2.5,DC,NEC Interchannel,,2008,,,0,0.04,0.04,$0 Million,0,0,,
Simulation,GoPets: Vacation Island,DS,Konami Digital Entertainment,E,2008,,,0,0.04,0,$0 Million,0.03,0,,
Action,Harry Potter and the Order of the Phoenix,PC,Electronic Arts,E10+,2007,11,63,0.03,0.04,0,$0 Million,0,0,35,7.1
Racing,Ferrari Challenge Trofeo Pirelli,PS3,System 3 Arcade Software,E,2008,37,71,0.03,0.04,0,$0 Million,0,0.01,27,6.3
Action,Cy Girls,PS2,Konami Digital Entertainment,M,2004,28,53,0.01,0.04,0,$0 Million,0.02,0,4,8.8
Role-Playing,APB Reloaded,PC,Iceberg Interactive,M,2011,12,56,0.01,0.04,0,$0 Million,0.02,0,269,5.7
Shooter,The Sum of All Fears,GBA,Ubisoft,T,2002,8,69,0.01,0.04,0,$0 Million,0.03,0,,
Adventure,Da Capo I & II Plus Situation Portable,PSP,Kadokawa Shoten,,2010,,,0,0.04,0.04,$0 Million,0,0,,
Misc,Casino Chaos With Las Vegas Players Collection,PC,THQ,T,2011,,,0,0.04,0,$0 Million,0.03,0,,
Shooter,Bionicle Heroes,Wii,Eidos Interactive,E10+,2007,7,52,0,0.04,0,$0 Million,0.03,0,5,5.8
Misc,Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki,DS,D3Publisher,,2010,,,0,0.04,0.04,$0 Million,0,0,,
Puzzle,Bubble Bobble Double Shot,DS,Rising Star Games,E,2007,12,50,0,0.04,0,$0 Million,0.03,0,5,4.4
Action,Minority Report: Everybody Runs,GBA,Activision,T,2002,8,54,0.01,0.04,0,$0 Million,0.03,0,,
Role-Playing,The Legend of Heroes: Trails in the Sky SC Evolution,PSV,Kadokawa Games,,2015,,,0,0.04,0.04,$0 Million,0,0,,
Role-Playing,Monster Hunter Frontier Online: Season 9.0,X360,Capcom,,2010,,,0,0.04,0.04,$0 Million,0,0,,
Shooter,C.O.R.E.,DS,Graffiti,M,2009,16,44,0,0.04,0,$0 Million,0.03,0,19,6.9
Platform,Garfield: The Search for Pooky,GBA,Game Factory,,2003,,,0.01,0.04,0,$0 Million,0.03,0,,
Action,Darksiders: Warmastered Edition,PS4,Nordic Games,M,2016,11,81,0,0.04,0,$0 Million,0.03,0.01,23,8.5
Fighting,Galaxy Fight,SAT,Sunsoft,,1994,,,0,0.04,0.04,$0 Million,0,0,,
Strategy,Chaos Wars,PS2,Idea Factory,T,2006,9,64,0,0.04,0.04,$0 Million,0,0,9,6.9
Role-Playing,Steambot Chronicles,PS2,505 Games,T,2005,35,74,0.01,0.04,0,$0 Million,0.02,0,17,8.2
Sports,Summer Challenge: Athletics Tournament,PS3,PQube,,2011,,,0.03,0.04,0,$0 Million,0,0.01,,
Action,Toki no Kizuna: Sekigahara Kitan,PSP,Idea Factory,,2012,,,0,0.04,0.04,$0 Million,0,0,,
Puzzle,Mr. Driller,PS,Namco Bandai Games,,1999,,,0.01,0.04,0,$0 Million,0.02,0,,
Adventure,Norn9: Norn + Nonette,PSP,Idea Factory,,2013,,,0,0.04,0.04,$0 Million,0,0,,
Action,Scarface: The World is Yours,PC,Vivendi Games,M,2006,18,73,0.02,0.04,0,$0 Million,0.01,0,57,7.5
Adventure,Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,DS,D3Publisher,,2007,,,0,0.04,0.04,$0 Million,0,0,,
Action,Kung Fu Panda: Showdown of Legendary Legends,3DS,Little Orbit,E10+,2015,,,0.03,0.04,0,$0 Million,0,0,,
Puzzle,The Talos Principle,PS4,Devolver Digital,E10+,2015,31,88,0.03,0.04,0,$0 Million,0,0.01,131,8.4
Action,Gumby vs. the Astrobots,GBA,Namco Bandai Games,E,2005,4,63,0.01,0.04,0,$0 Million,0.03,0,,
Action,Harry Potter and the Prisoner of Azkaban,PC,Electronic Arts,E,2004,19,67,0.03,0.04,0,$0 Million,0,0,50,7.2
Misc,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion - Yakusoku no Toki,PS2,D3Publisher,,2008,,,0,0.04,0.04,$0 Million,0,0,,
Platform,Scaler,GC,Take-Two Interactive,E,2004,11,69,0.01,0.04,0,$0 Million,0.03,0,8,7.3
Adventure,Chaos;Head Noah,X360,5p,,2009,,,0,0.04,0.04,$0 Million,0,0,,
Action,Fast & Furious: Showdown,X360,Activision,,2013,,,0.03,0.04,0,$0 Million,0,0,,
Strategy,Tears to Tiara Anecdotes: The Secret of Avalon,PS3,Aqua Plus,,2009,,,0,0.04,0.04,$0 Million,0,0,,
Role-Playing,Legasista,PS3,Nippon Ichi Software,T,2012,13,68,0,0.04,0.04,$0 Million,0,0,15,6.3
Action,Summon Night 6: Lost Borders,PS4,Namco Bandai Games,,2016,,,0,0.04,0.04,$0 Million,0,0,,
Puzzle,Logic Machines,DS,City Interactive,,2009,,,0,0.04,0,$0 Million,0.03,0,,
Fighting,Fatal Fury: Battle Archives Volume 1,PS2,Ignition Entertainment,T,2006,22,68,0.01,0.04,0,$0 Million,0.02,0,4,8.3
Racing,OutRun 2006: Coast 2 Coast,PSP,Sega,E,2006,31,82,0.01,0.04,0,$0 Million,0.03,0,14,8.1
Adventure,Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,PSP,Tecmo Koei,,2009,,,0,0.04,0.04,$0 Million,0,0,,
Sports,Pro Cycling Manager 2016,PC,Focus Home Interactive,,2016,6,64,0.03,0.04,0,$0 Million,0,0,5,4.8
Sports,The Golf Clu,XOne,Unknown,E,2014,15,64,0,0.04,0,$0 Million,0.03,0,60,5.4
Role-Playing,Rhapsody: A Musical Adventure,PS,Nippon Ichi Software,,1998,,,0.01,0.04,0,$0 Million,0.02,0,,
Puzzle,Fading Shadows,PSP,Ivolgamus,E,2008,13,62,0,0.04,0,$0 Million,0.03,0,,
Misc,The Croods: Prehistoric Party!,3DS,D3Publisher,,2013,,,0.02,0.04,0,$0 Million,0.01,0,,
Racing,Richard Burns Rally,PC,SCi,,2004,,,0.03,0.04,0,$0 Million,0,0.01,,
Misc,Music Maker: Rockstar,PS2,Magix,,2009,,,0.01,0.04,0,$0 Million,0.02,0,,
Shooter,Without Warning,PS2,Capcom,M,2005,25,45,0.01,0.04,0,$0 Million,0.02,0,8,6.5
Racing,Formula 1 06,PS2,Sony Computer Entertainment,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Racing,Smashing Drive,X,Namco Bandai Games,T,2002,9,42,0.01,0.04,0,$0 Million,0.03,0,,
Misc,"Minna de Jibun no Setsumeisho: B-Kata, A-Kata, AB-Kata, O-Kata",DS,GungHo,,2008,,,0,0.04,0.04,$0 Million,0,0,,
Fighting,Fighting Vipers 2,DC,Sega,,2000,,,0,0.04,0.04,$0 Million,0,0,,
Action,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,X,Konami Digital Entertainment,E10+,2005,13,56,0.01,0.04,0,$0 Million,0.03,0,,
Adventure,Here They Lie,PS4,Sony Computer Entertainment,M,2016,33,62,0.03,0.04,0,$0 Million,0,0.01,38,6.6
Puzzle,Napoleon Dynamite: The Game,PSP,Crave Entertainment,E10+,2007,14,37,0,0.04,0,$0 Million,0.03,0,7,4.6
Action,Saints Row 2,PC,THQ,M,2009,24,72,0.03,0.04,0,$0 Million,0,0.01,381,6.8
Action,Beatdown: Fists of Vengeance,X,Capcom,,2005,,,0.01,0.04,0,$0 Million,0.03,0,,
Role-Playing,Enchanted Arms (JP sales),PS3,Ubisoft,,2007,,,0,0.04,0.04,$0 Million,0,0,,
Platform,Trine 2,PC,Focus Home Interactive,E10+,2011,55,84,0.03,0.04,0,$0 Million,0,0.01,670,8.4
Shooter,Monster Force,GBA,Universal Interactive,E,2002,9,65,0.01,0.04,0,$0 Million,0.03,0,,
Simulation,Sid Meiers Railroads!,PC,Take-Two Interactive,,2006,,,0.03,0.04,0,$0 Million,0.01,0,,
Misc,Onsei Kanjou Sokuteiki: Kokoro Scan,DS,Sega,,2007,,,0,0.04,0.04,$0 Million,0,0,,
Role-Playing,Guild Wars,PC,NCSoft,T,2005,53,89,0,0.04,0,$0 Million,0.03,0,455,8.4
Adventure,Clock Zero: Shuuen no Ichibyou Portable,PSP,Idea Factory,,2011,,,0,0.04,0.04,$0 Million,0,0,,
Role-Playing,Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,Tecmo Koei,T,2016,10,79,0,0.04,0.04,$0 Million,0,0,4,7.5
Adventure,Trick x Logic: Season 2,PSP,Sony Computer Entertainment,,2010,,,0,0.04,0.04,$0 Million,0,0,,
Strategy,San Goku Shi DS 3,DS,Tecmo Koei,,2010,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Hakuouki: Zuisouroku,PS2,Idea Factory,,2009,,,0,0.04,0.04,$0 Million,0,0,,
Sports,World Championship Pool 2004,X,Jaleco,E,2003,11,67,0.01,0.04,0,$0 Million,0.03,0,,
Sports,Derby Tsuku 5: Derby Uma o Tsukurou!,PS2,Sega,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Sports,Jikkyou Powerful Major League 2009,Wii,Konami Digital Entertainment,,2009,,,0,0.04,0.04,$0 Million,0,0,,
Shooter,SD Gundam Force: Showdown!,PS2,Namco Bandai Games,,2004,,,0.01,0.04,0,$0 Million,0.02,0,,
Adventure,Ao no Kanata no Four Rhythm,PSV,Unknown,,2016,,,0,0.04,0.04,$0 Million,0,0,,
Adventure,Teenage Zombies: Invasion of the Alien Brain Thingys,DS,Ignition Entertainment,E10+,2008,30,67,0,0.04,0,$0 Million,0.03,0,29,8.2
Sports,Real Soccer 2008,DS,Ubisoft,E,2007,,,0,0.04,0,$0 Million,0.03,0,,
Adventure,Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,PS2,Konami Digital Entertainment,,2006,,,0,0.04,0.04,$0 Million,0,0,,
Misc,Flow: Urban Dance Uprising,PS2,Ubisoft,T,2005,10,65,0.01,0.04,0,$0 Million,0.02,0,,
